time_iso8601,forks_cumulative
2018-01-24 00:00:00+00:00,1
2018-06-27 00:00:00+00:00,2
2019-02-04 00:00:00+00:00,3
2019-03-21 00:00:00+00:00,4
2019-04-16 00:00:00+00:00,5
2019-06-25 00:00:00+00:00,6
2019-07-12 00:00:00+00:00,7
2019-07-24 00:00:00+00:00,8
2019-11-19 00:00:00+00:00,9
2020-04-01 00:00:00+00:00,10
2020-12-01 00:00:00+00:00,11
2021-03-02 00:00:00+00:00,12
2021-05-25 00:00:00+00:00,13
2021-10-01 00:00:00+00:00,14
2021-10-14 00:00:00+00:00,15
2021-11-03 00:00:00+00:00,16
2021-11-24 00:00:00+00:00,17
2022-02-26 00:00:00+00:00,18
2022-06-09 00:00:00+00:00,19
2022-07-13 00:00:00+00:00,20
2022-11-13 00:00:00+00:00,21
2022-12-11 00:00:00+00:00,22
2023-05-12 00:00:00+00:00,23
