time_iso8601,stars_cumulative
2018-01-15 00:00:00+00:00,1
2018-04-25 00:00:00+00:00,2
2018-06-03 00:00:00+00:00,3
2018-06-04 00:00:00+00:00,4
2018-07-27 00:00:00+00:00,5
2018-09-13 00:00:00+00:00,6
2019-01-04 00:00:00+00:00,7
2019-01-05 00:00:00+00:00,8
2019-01-28 00:00:00+00:00,9
2019-07-12 00:00:00+00:00,10
2019-07-13 00:00:00+00:00,11
2019-09-11 00:00:00+00:00,12
2019-09-30 00:00:00+00:00,13
2019-10-17 00:00:00+00:00,14
2019-11-12 00:00:00+00:00,15
2020-03-09 00:00:00+00:00,16
2020-03-25 00:00:00+00:00,17
2020-04-06 00:00:00+00:00,18
2020-06-09 00:00:00+00:00,19
2020-08-06 00:00:00+00:00,20
2020-09-19 00:00:00+00:00,21
2020-10-07 00:00:00+00:00,22
2021-01-05 00:00:00+00:00,23
2021-01-07 00:00:00+00:00,24
2021-03-15 00:00:00+00:00,25
2021-04-20 00:00:00+00:00,26
2021-06-02 00:00:00+00:00,28
2021-06-18 00:00:00+00:00,29
2021-07-06 00:00:00+00:00,30
2021-07-29 00:00:00+00:00,31
2021-10-01 00:00:00+00:00,32
2021-10-13 00:00:00+00:00,33
2021-10-29 00:00:00+00:00,34
2021-11-22 00:00:00+00:00,35
2021-11-26 00:00:00+00:00,36
2022-02-05 00:00:00+00:00,37
2022-02-07 00:00:00+00:00,38
2022-02-08 00:00:00+00:00,39
2022-03-15 00:00:00+00:00,40
2022-03-16 00:00:00+00:00,41
2022-03-29 00:00:00+00:00,42
2022-05-06 00:00:00+00:00,43
2022-06-02 00:00:00+00:00,44
2022-07-29 00:00:00+00:00,45
2022-08-16 00:00:00+00:00,46
2022-10-05 00:00:00+00:00,47
2022-10-26 00:00:00+00:00,48
2023-01-11 00:00:00+00:00,49
2023-01-16 00:00:00+00:00,51
2023-01-19 00:00:00+00:00,52
2023-02-28 00:00:00+00:00,53
2023-03-03 00:00:00+00:00,54
2023-04-03 00:00:00+00:00,55
2023-05-02 00:00:00+00:00,56
