time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-28 00:00:00+00:00,1.0,1.0,,
2022-12-29 00:00:00+00:00,4.0,2.0,22.0,5.0
2022-12-30 00:00:00+00:00,,,11.0,3.0
2022-12-31 00:00:00+00:00,,,1.0,1.0
2023-01-02 00:00:00+00:00,,,6.0,2.0
2023-01-03 00:00:00+00:00,8.0,4.0,3.0,3.0
2023-01-04 00:00:00+00:00,2.0,1.0,2.0,1.0
2023-01-05 00:00:00+00:00,,,41.0,9.0
2023-01-06 00:00:00+00:00,,,48.0,6.0
2023-01-07 00:00:00+00:00,,,3.0,1.0
2023-01-09 00:00:00+00:00,,,34.0,6.0
2023-01-10 00:00:00+00:00,,,4.0,1.0
2023-01-11 00:00:00+00:00,3.0,2.0,41.0,9.0
